"name_business","url","recommended","username","rating","review_date","review_text","reviewer_location","reviewer_friends","reviewer_reviews","ReviewLength"
"Alqueria Farmhouse Kitchen","https://www.yelp.com/not_recommended_reviews/alqueria-farmhouse-kitchen-columbus?not_recommended_start=0","False","Kenneth S.",4,"2023-08-12","An absolute treasure. I have been going for special occasions since their opening in 2019.","
Columbus, OH
",6,3,90
"Alqueria Farmhouse Kitchen","https://www.yelp.com/not_recommended_reviews/alqueria-farmhouse-kitchen-columbus?not_recommended_start=0","False","F S.",5,"2024-01-27","Everything was delicious and the service was wonderful! Would definitely come here again!","
Dublin, OH
",0,4,89
"Alqueria Farmhouse Kitchen","https://www.yelp.com/not_recommended_reviews/alqueria-farmhouse-kitchen-columbus?not_recommended_start=0","False","Kevin W.",5,"2022-07-14","This place was fantastic! Great food and great service, and the setting outside was really enjoyable. Will definitely be back!","
Henderson, NV
",94,4,126
"Alqueria Farmhouse Kitchen","https://www.yelp.com/not_recommended_reviews/alqueria-farmhouse-kitchen-columbus?not_recommended_start=0","False","Brandon H.",5,"2021-06-05","Absolutely hands down the best dinner we've had. There was excellent service by the lady who served us, excellent food and well worth the cost.","
Elkridge, MD
",0,4,143
"Alqueria Farmhouse Kitchen","https://www.yelp.com/not_recommended_reviews/alqueria-farmhouse-kitchen-columbus?not_recommended_start=0","False","Rich J.",5,"2019-06-15","Great atmosphere, great wine selection, server was very attentive, food was great! Will definitely return!","
Sunrise, FL
",0,32,106
"Alqueria Farmhouse Kitchen","https://www.yelp.com/not_recommended_reviews/alqueria-farmhouse-kitchen-columbus?not_recommended_start=0","False","Jeep G.",5,"2019-01-31","So glad we went! Food and service were excellent. Would have never believed this place hadn't been open for years. Everything came out better than expected. You could tell everyone was excited to be there. Can't wait to go back!","
San Francisco, CA
",0,1,228
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","IntravenusDeMilo K.",1,"2021-05-20","Let me preface my review by saying the bartenders were awesome.However the hostess told my group of guys in the their early sixties that were at the bar too long and we had to go.When we asked if we had to have reservations at the bar she said it was past our bedtime.Then said it was a joke.I guess if your not a young hipster there is a TV time limit on your stay at this place","
Upper Arlington, OH
",0,2,379
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Timothy W.",1,"2020-11-25","I visited HBD on 11/22/20 for the first time. There was a particular draft beer that I wanted to try - it wasn't available and their website didn't identify that either. The next day (11/23/20) I sent HBD a nice message through their web message portal but didn't receive a response. Finally, I called HBD on 11/24/20 and left a nice voice message with my phone number but no response. WHAT IS GOING ON? IS BUSINESS THAT GOOD THAT HBD IGNORES ITS CUSTOMERS? I'll never be back . . . and I'll share my experiences with HBD with others. SAD!","
Columbus, OH
",0,1,539
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Izzy L.",1,"2020-08-01","My first experience at High Bank Distillery was an utter disaster. I was excited for a fun and exciting atmosphere and it was completely disappointing and boring. My friend (with a severe celiac disease) chose this place for her birthday brunch. Not only did High Banks Distillery NOT have a gluten free menu but the waitress was completely uneducated with the items that were safe her to eat. Being educated on gluten free items is an expectation for individuals within the food service industry. Our server, was uneducated, uninterested and lacked knowledge on the menu and what was available for us. I'm completely disappointed in High Banks Distillery and will not be returning.","
Athens, OH
",237,3,682
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Jaclyn F.",1,"2019-05-23","this was not what i expected at all... we were so excited to try this new bar in grandview. upon arrival, the restaurant was essentially empty. patio was packed but we figured that. we asked to sit at a table near the patio to try and soak up some of that precious ohio sun. they ended up seating us a few rows back, jammed between two other tables. we asked to move and you would have thought we asked them to jump off the empire state building. we pointed to an open table right by the patio but they said we would need to eat and be done by 7 for the reservation coming for that table.... even though i too had made reservations and was there earlier. after asking their manager for another solution they put us at a table right beside the door.... although the table in front of us was empty and right by the patio like we asked. all of us being from the hospitality industry we were frankly shocked that they were straight up saying no to our requests. finally i got the nerve to ask the manager again to move to this table closer to the patio. we were there to celebrate a friends birthday and wanted to make this as fun as possible for her. Once we were settled at our new table i will give a shout out to the following:1. Rose coolers- delicious and will definitely go back for this drink alone2. Nachos- very good as wellThe rest of the meal however was a disappointment. We ordered the pepper appetizer and i dont think i have ever had to send something back to the kitchen until this moment. We assumed since we took 1 bite this wouldn't be charged to us, but unfortunately it was. The grilled cheese also had a bitter taste. All in all the food was probably a B-, C+. The service was the part that failed the most. We sat many times with empty drinks for 20+ minutes. Finally we agreed to leave and it took us 45 minutes to flag our server down. We asked to split the bills and i asked to have the birthday girls tab put onto my bill. Somehow, all of our checks were the exact same amount, but no detailed receipt was given so we honestly have no clue what we paid for. again, all of us at that table have worked at restaurants, and i have never even taken the time for a review on any restaurant but i was highly disappointed with this experience. if you do go- i recommend you sit outside (if allowed), get the rose coolers and nachos and close your tabs early and go to somewhere that will give you much more bang for your buck and a place that makes you feel welcomed.","
Indianapolis, IN
",0,1,2484
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Stacy C.",2,"2019-10-26","There's really nothing wrong with this place the service was good, little slow to get your drinks considering it's a bar. There wasn't really anything right with this place either. The food is just really not that good.","
Columbus, OH
",81,114,219
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Laura N.",3,"2022-09-24","great whisky I'll give them that but service not so much.","
Livermore, CA
",0,6,57
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Steve P.",4,"2023-12-07","Nice place to watch games with big screens! Staffs is welcoming, Wi-Fi is fast and the food is above average. It is like a fusion restaurant with fancy dishes, Alcohols and distillery equipments in the back. It could be better making the dinner menu earlier during game days.","
OH, OH
",0,5,275
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","K S.",4,"2021-03-02","Gets better and better. My favorite staff in town :)","
Columbus, OH
",0,6,52
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Stacey B.",5,"2024-02-26","Tammy was AMAZING! She was the best tour guide for our small retirement group. We learned a lot about distilling and the High Banks story. Tammy was very knowledgeable and personable. It was a wonderful tour and dining experience.","
Grove City, OH
",0,1,230
"High Bank Distillery","https://www.yelp.com/not_recommended_reviews/high-bank-distillery-columbus?not_recommended_start=0","False","Ron M.",5,"2024-02-24","Tammy is so great. Best tour ever. I had a great time and it was a cool experience. Would recommend.","
San Francisco, CA
",0,1,100
"Emmett’s Cafe","https://www.yelp.com/not_recommended_reviews/emmett-s-cafe-columbus-5?not_recommended_start=0","False","Jere M.",4,"2023-08-20","Really good food and they have outdoor seating. Food portions are good. The coffee is good and I'm not really a coffee person.","
Lubbock, TX
",0,24,126
"Emmett’s Cafe","https://www.yelp.com/not_recommended_reviews/emmett-s-cafe-columbus-5?not_recommended_start=0","False","Lisa L.",5,"2023-07-03","Food is fresh and delicious price is reasonable. I will come again. everything on the menu is good.","
Southeast Orlando, Orlando, FL
",0,1,99
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","David F.",1,"2017-01-02","Stopped in for lunch on 12/28 with a party of four, we were told to expect a 20 minute wait. After 40 minutes we noticed patrons who arrived as we were waiting being seated. I found our greeter and was told that our table for four was given away by another server, and the other party just seated was a party of six. She was sorry, but didn't offer any kind of solution that would entice us to wait around any longer. Don't know anything about the food, but do know that when busy it is way too loud to carry on a conversation. Forty minutes in there gave me a heada","
Athens, OH
",0,1,566
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","Bob S.",1,"2016-06-15","had a great sandwich and, on a later visit, a terrific ""chop"" salad. but latest visit ended badly. very hot day but doors were open. waitress said it was to make it easier to serve outdoor customers. i said it let in flies (like the one on the window where i wanted to sit). she didn't seem to care. so i left and had a very nice lunch (with no flies) at acre, a couple of blocks down high street. this place has good food but the wrong people are in charge.","
Columbus, OH
",0,1,458
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","Matthew H.",1,"2014-05-02","Went to Harvest tonight after it has been open for seven weeks. They seemed to be having troubles like a place that had just opened. We waited 1.5 hours doing our part and having beers from the bar while we saw more than one party arrive after us and get seated before us. We heard one of these was the part owners, which I find hard to believe. We were done with the poor service before we sat down and will never return.","
Columbus, OH
",0,1,422
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","Kevin T.",2,"2016-05-29","Heard plenty of wonderful things about this place. Went in to check it out. Everything smelled AMAZING. Gotta love that pizza joint smell. Good selection of beers from approachable to sophisticated palate. Unfortunately, I was really in the mood for BBQ and there absolutely NONE on the menu. I mean no ribs, no brisket, no pulled pork. I REALLY wanted BBQ and Harvest Pizzeria has none. Very cool place though,","
Columbus, OH
",0,2,411
